POLE TYPE,LIGHT PRESENT,SIDE OF ROAD,ELEVATION,latitude,longitude,GeoLocation
Metal,Yes,Right,23.585,30.31369966,-91.11922648,"(30.31369966, -91.11922648)"
Metal,Yes,Right,24.921,30.31456229,-91.1199198,"(30.31456229, -91.1199198)"
Metal,Yes,Right,25.692,30.31502657,-91.12246465,"(30.31502657, -91.12246465)"
Metal,Yes,Right,24.789,30.31583511,-91.12193798,"(30.31583511, -91.12193798)"
Metal,Yes,Right,22.483,30.316504,-91.12321237,"(30.316504, -91.12321237)"
Metal,Yes,Right,22.732,30.31685062,-91.12343867,"(30.31685062, -91.12343867)"
Metal,Yes,Right,24.524,30.31761639,-91.12404961,"(30.31761639, -91.12404961)"
Metal,Yes,Right,24.281,30.31784899,-91.12431703,"(30.31784899, -91.12431703)"
Metal,Unknown,Left,26.66,30.31812491,-91.12471075,"(30.31812491, -91.12471075)"
Metal,Yes,Right,24.937,30.31692812,-91.12292079,"(30.31692812, -91.12292079)"
Metal,Yes,Right,24.645,30.31731462,-91.1225763,"(30.31731462, -91.1225763)"
Metal,Unknown,Left,29.179,30.31768452,-91.12215001,"(30.31768452, -91.12215001)"
Metal,Yes,Right,23.533,30.31720834,-91.12375473,"(30.31720834, -91.12375473)"
Metal,Unknown,Left,27.601,30.31591717,-91.12395834,"(30.31591717, -91.12395834)"
Metal,Yes,Right,25.816,30.31616294,-91.12359278,"(30.31616294, -91.12359278)"
Metal,Yes,Right,23.812,30.31502969,-91.12422424,"(30.31502969, -91.12422424)"
Metal,Yes,Right,24.878,30.31552143,-91.12328491,"(30.31552143, -91.12328491)"
Metal,Yes,Right,23.179,30.31680394,-91.12220601,"(30.31680394, -91.12220601)"
Metal,Yes,Right,22.89,30.3173991,-91.12138451,"(30.3173991, -91.12138451)"
Metal,Yes,Right,23.234,30.31790026,-91.12028813,"(30.31790026, -91.12028813)"
Metal,Yes,Right,24.347,30.31819364,-91.11913925,"(30.31819364, -91.11913925)"
Metal,Yes,Right,30.104,30.3182744,-91.11804047,"(30.3182744, -91.11804047)"
Metal,Yes,Right,24.353,30.31817895,-91.11683543,"(30.31817895, -91.11683543)"
Metal,Yes,Right,24.314,30.31822985,-91.11556274,"(30.31822985, -91.11556274)"
Metal,Yes,Right,21.919,30.31859133,-91.11438119,"(30.31859133, -91.11438119)"
Metal,Yes,Right,24.127,30.31914014,-91.1125156,"(30.31914014, -91.1125156)"
Metal,Yes,Right,24.091,30.32113589,-91.11594605,"(30.32113589, -91.11594605)"
Metal,Yes,Right,24.616,30.32147503,-91.11451265,"(30.32147503, -91.11451265)"
Metal,Yes,Right,23.159,30.32149467,-91.11329772,"(30.32149467, -91.11329772)"
Metal,Yes,Right,21.866,30.32020841,-91.11227068,"(30.32020841, -91.11227068)"
Metal,Yes,Right,24.356,30.32149038,-91.113917,"(30.32149038, -91.113917)"
Metal,Yes,Right,20.849,30.31898595,-91.11976272,"(30.31898595, -91.11976272)"
Metal,Yes,Right,21.436,30.31942034,-91.1211685,"(30.31942034, -91.1211685)"
Metal,Yes,Right,21.935,30.31998345,-91.12338688,"(30.31998345, -91.12338688)"
Metal,Yes,Right,22.365,30.3204739,-91.12467429,"(30.3204739, -91.12467429)"
Metal,Yes,Right,22.778,30.32110966,-91.12519162,"(30.32110966, -91.12519162)"
Metal,Yes,Right,23.999,30.32273455,-91.12406378,"(30.32273455, -91.12406378)"
Metal,Yes,Right,25.836,30.3234828,-91.12361418,"(30.3234828, -91.12361418)"
Metal,Yes,Right,24.343,30.32461549,-91.1220223,"(30.32461549, -91.1220223)"
Metal,Yes,Right,24.799,30.32500805,-91.12076442,"(30.32500805, -91.12076442)"
Metal,Yes,Right,25.009,30.32517267,-91.1198609,"(30.32517267, -91.1198609)"
Metal,Yes,Right,25.934,30.32554474,-91.11831203,"(30.32554474, -91.11831203)"
Metal,Yes,Right,22.312,30.32575898,-91.11703944,"(30.32575898, -91.11703944)"
Metal,Yes,Right,23.31,30.32730779,-91.11381128,"(30.32730779, -91.11381128)"
Metal,Yes,Right,23.234,30.32771605,-91.11285218,"(30.32771605, -91.11285218)"
Metal,Yes,Right,23.549,30.32869514,-91.11281005,"(30.32869514, -91.11281005)"
Metal,Yes,Right,23.09,30.32835169,-91.11285424,"(30.32835169, -91.11285424)"
Metal,Yes,Right,22.729,30.32781894,-91.11433349,"(30.32781894, -91.11433349)"
Metal,Yes,Right,22.86,30.32743472,-91.11326983,"(30.32743472, -91.11326983)"
Metal,Yes,Right,22.401,30.32732055,-91.11434655,"(30.32732055, -91.11434655)"
Metal,Yes,Right,22.467,30.32723525,-91.11495264,"(30.32723525, -91.11495264)"
Metal,Yes,Right,22.706,30.32711769,-91.11548148,"(30.32711769, -91.11548148)"
Metal,Yes,Right,23.474,30.32688661,-91.11587484,"(30.32688661, -91.11587484)"
Metal,Yes,Right,23.687,30.32653422,-91.11629797,"(30.32653422, -91.11629797)"
Metal,Yes,Right,23.579,30.32615672,-91.11668791,"(30.32615672, -91.11668791)"
Metal,Yes,Right,24.97,30.32569682,-91.1177424,"(30.32569682, -91.1177424)"
Metal,Yes,Right,23.159,30.35065209,-91.12386982,"(30.35065209, -91.12386982)"
Metal,Yes,Right,23.605,30.35101472,-91.12436714,"(30.35101472, -91.12436714)"
Metal,Yes,Median,26.154,30.35347363,-91.12793441,"(30.35347363, -91.12793441)"
Metal,Yes,Median,24.32,30.35329161,-91.12772727,"(30.35329161, -91.12772727)"
Metal,Unknown,Median,24.511,30.35315024,-91.12753697,"(30.35315024, -91.12753697)"
Metal,Yes,Right,26.279,30.35263171,-91.12682022,"(30.35263171, -91.12682022)"
Metal,Yes,Right,22.23,30.31946231,-91.11195388,"(30.31946231, -91.11195388)"
Metal,Yes,Right,22.07,30.31951682,-91.11138483,"(30.31951682, -91.11138483)"
Metal,Yes,Right,30.311,30.31461379,-91.12529669,"(30.31461379, -91.12529669)"
Metal,Yes,Right,20.721,30.32053713,-91.11227764,"(30.32053713, -91.11227764)"
Metal,Yes,Right,21.512,30.32100578,-91.11242603,"(30.32100578, -91.11242603)"
Metal,Yes,Right,20.974,30.32141052,-91.11280524,"(30.32141052, -91.11280524)"
Metal,Yes,Right,20.16,30.3215249,-91.11492495,"(30.3215249, -91.11492495)"
Metal,Yes,Right,22.227,30.3214317,-91.11537117,"(30.3214317, -91.11537117)"
Metal,Yes,Right,22.919,30.32110305,-91.11616673,"(30.32110305, -91.11616673)"
Metal,Yes,Right,22.926,30.32086768,-91.1164535,"(30.32086768, -91.1164535)"
Metal,Yes,Right,21.768,30.31986002,-91.11210245,"(30.31986002, -91.11210245)"
Metal,Yes,Right,23.861,30.32224855,-91.11475041,"(30.32224855, -91.11475041)"
Metal,Yes,Right,22.375,30.32378373,-91.11169233,"(30.32378373, -91.11169233)"
Metal,Yes,Right,21.279,30.32359732,-91.11232659,"(30.32359732, -91.11232659)"
Metal,Yes,Right,20.912,30.32346648,-91.11286348,"(30.32346648, -91.11286348)"
